poseId, timestamp, T00, T01, T02, T03, T10, T11, T12, T13, T20, T21, T22, T23, T30, T31, T32, T33
1669301254_629609984, 1669301254.629610, 0.823091, -0.567455, 0.022700, 37.367571, 0.567688, 0.823228, -0.005040, -6.736788, -0.015827, 0.017035, 0.999730, 0.135588, 0.000000, 0.000000, 0.000000, 1.000000
1669301258_328868608, 1669301258.328869, 0.823165, -0.567696, 0.010997, 36.356342, 0.567794, 0.823103, -0.010525, -6.541615, -0.003076, 0.014908, 0.999884, 0.161984, 0.000000, 0.000000, 0.000000, 1.000000
1669301293_28823296, 1669301293.028823, 0.823412, -0.567255, 0.014637, 35.351019, 0.567389, 0.823417, -0.007372, -6.337097, -0.007871, 0.014375, 0.999866, 0.180038, 0.000000, 0.000000, 0.000000, 1.000000
1669301295_728130816, 1669301295.728131, 0.824545, -0.565588, 0.015347, 34.366108, 0.565725, 0.824568, -0.006524, -6.135294, -0.008965, 0.014062, 0.999861, 0.205439, 0.000000, 0.000000, 0.000000, 1.000000
1669301302_228346112, 1669301302.228346, 0.822705, -0.568382, 0.009866, 33.359730, 0.568419, 0.822738, -0.001194, -5.925937, -0.007439, 0.006591, 0.999951, 0.224759, 0.000000, 0.000000, 0.000000, 1.000000
1669301308_528955648, 1669301308.528956, 0.796127, -0.604849, 0.018399, 32.358226, 0.604977, 0.796241, -0.001771, -5.756906, -0.013579, 0.012540, 0.999829, 0.241814, 0.000000, 0.000000, 0.000000, 1.000000
1669301310_929727232, 1669301310.929727, 0.796212, -0.604732, 0.018615, 31.367105, 0.604886, 0.796304, -0.003567, -5.604983, -0.012666, 0.014100, 0.999820, 0.262916, 0.000000, 0.000000, 0.000000, 1.000000
1669301313_329418240, 1669301313.329418, 0.795618, -0.605603, 0.015389, 30.362477, 0.605666, 0.795719, 0.000693, -5.449003, -0.012665, 0.008769, 0.999881, 0.284753, 0.000000, 0.000000, 0.000000, 1.000000
1669301323_230305280, 1669301323.230305, 0.796256, -0.604957, 0.002077, 29.341114, 0.604959, 0.796257, -0.000303, -5.295274, -0.001470, 0.001498, 0.999998, 0.302452, 0.000000, 0.000000, 0.000000, 1.000000
1669301325_430559488, 1669301325.430559, 0.797253, -0.603585, 0.008535, 28.335768, 0.603633, 0.797248, -0.004844, -5.141616, -0.003881, 0.009014, 0.999952, 0.316068, 0.000000, 0.000000, 0.000000, 1.000000
1669301331_429749248, 1669301331.429749, 0.797261, -0.603558, 0.009623, 27.346848, 0.603600, 0.797284, -0.002060, -4.984022, -0.006429, 0.007451, 0.999952, 0.332191, 0.000000, 0.000000, 0.000000, 1.000000
1669301333_929298432, 1669301333.929298, 0.797627, -0.602904, 0.017293, 26.335517, 0.603048, 0.797694, -0.004307, -4.829584, -0.011197, 0.013864, 0.999841, 0.348550, 0.000000, 0.000000, 0.000000, 1.000000
1669301336_229578496, 1669301336.229578, 0.795406, -0.605812, 0.017908, 25.316506, 0.605968, 0.795476, -0.004555, -4.675102, -0.011486, 0.014475, 0.999829, 0.369607, 0.000000, 0.000000, 0.000000, 1.000000
1669301344_229549568, 1669301344.229550, 0.796066, -0.605150, 0.008459, 24.261788, 0.605209, 0.795995, -0.010657, -4.520119, -0.000284, 0.013604, 0.999907, 0.386863, 0.000000, 0.000000, 0.000000, 1.000000
1669301346_29277184, 1669301346.029277, 0.795497, -0.605895, 0.008703, 23.267601, 0.605953, 0.795463, -0.007684, -4.367851, -0.002267, 0.011386, 0.999933, 0.401738, 0.000000, 0.000000, 0.000000, 1.000000
1669301347_829658112, 1669301347.829658, 0.795666, -0.605650, 0.010141, 22.261056, 0.605733, 0.795600, -0.010408, -4.218622, -0.001765, 0.014424, 0.999894, 0.413774, 0.000000, 0.000000, 0.000000, 1.000000
1669301353_830097920, 1669301353.830098, 0.801037, -0.598590, 0.005405, 21.244175, 0.598614, 0.800997, -0.008093, -4.066544, 0.000515, 0.009718, 0.999953, 0.429897, 0.000000, 0.000000, 0.000000, 1.000000
1669301355_530104064, 1669301355.530104, 0.854094, -0.519924, 0.014196, 20.265600, 0.520054, 0.854098, -0.007698, -3.826767, -0.008123, 0.013958, 0.999870, 0.446663, 0.000000, 0.000000, 0.000000, 1.000000
1669301357_330893824, 1669301357.330894, 0.810585, -0.585612, 0.003327, 19.251767, 0.585622, 0.810570, -0.004838, -3.603248, 0.000137, 0.005869, 0.999983, 0.462505, 0.000000, 0.000000, 0.000000, 1.000000
1669301362_930226176, 1669301362.930226, 0.802410, -0.596636, 0.012805, 18.242673, 0.596751, 0.802382, -0.008439, -3.434388, -0.005240, 0.014413, 0.999882, 0.474380, 0.000000, 0.000000, 0.000000, 1.000000
1669301364_630139648, 1669301364.630140, 0.800827, -0.598721, 0.014490, 17.204647, 0.598855, 0.800821, -0.007624, -3.266735, -0.007039, 0.014783, 0.999866, 0.491716, 0.000000, 0.000000, 0.000000, 1.000000
1669301366_230387968, 1669301366.230388, 0.801720, -0.597576, 0.012124, 16.190098, 0.597682, 0.801688, -0.008588, -3.102630, -0.004588, 0.014131, 0.999890, 0.513287, 0.000000, 0.000000, 0.000000, 1.000000
1669301372_231329024, 1669301372.231329, 0.803307, -0.595529, 0.006624, 15.194199, 0.595561, 0.803294, -0.005035, -2.939311, -0.002323, 0.007989, 0.999965, 0.531051, 0.000000, 0.000000, 0.000000, 1.000000
1669301374_31044352, 1669301374.031044, 0.802082, -0.597087, 0.012321, 14.154504, 0.597174, 0.802097, -0.004887, -2.773525, -0.006965, 0.011278, 0.999912, 0.550210, 0.000000, 0.000000, 0.000000, 1.000000
1669301375_831673344, 1669301375.831673, 0.833695, -0.552159, 0.008524, 13.101103, 0.552225, 0.833605, -0.012247, -2.604907, -0.000344, 0.014917, 0.999889, 0.561224, 0.000000, 0.000000, 0.000000, 1.000000
1669301377_431734016, 1669301377.431734, 0.868302, -0.496023, 0.003588, 12.123779, 0.496029, 0.868227, -0.011736, -2.338042, 0.002706, 0.011970, 0.999925, 0.577547, 0.000000, 0.000000, 0.000000, 1.000000
1669301383_231226880, 1669301383.231227, 0.799466, -0.600470, 0.017049, 11.126094, 0.600697, 0.799326, -0.015547, -2.104797, -0.004292, 0.022671, 0.999734, 0.598498, 0.000000, 0.000000, 0.000000, 1.000000
